IDENTIFYER,Location,Authors,year,Journal,Species,Family,N_fix,Growth_Habit,Koppen,Lat,Long,MAP,MAT,EVAP,DryIND,Elevation,Land_system,Narea,WUEi,Aarea,gsarea,Log10Narea,Log10WUEi,Log10A,Log10gs,SLA,LMA,Log10SLA
167,C,Forrester,2012,Trees,Eucalyptus globulus,Myrtaceae,N,Ev. Ang.,C,-37.58,149.17,1006,14.4,691,0.87,110,Natural,3.1,65.9,14.5,0.22,0.491361694,1.818945321,1.161368002,-0.657577319,3.8,263,0.579783597
168,C,Forrester,2012,Trees,Eucalyptus globulus,Myrtaceae,N,Ev. Ang.,C,-37.58,149.17,1006,14.4,691,0.87,110,Natural,2.9,84.3,11.8,0.14,0.462397998,1.925753972,1.071882007,-0.853871964,3.6,277,0.556302501
221,D,Gulias,2003,Annal Bot,Anagyris foetida,Fabaceae,F,Ev. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,4.2,55.8,21.3,0.382,0.62324929,1.746316241,1.328379603,-0.417936637,,,
232,D,Gulias,2003,Annal Bot,Ceratonia siliqua,Fabaceae,F,Ev. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,3.6,47.5,13.2,0.278,0.556302501,1.676529135,1.120573931,-0.555955204,,,
269,D,Gulias,2003,Annal Bot,Pisum sativum,Fabaceae,F,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,2.5,30,21.6,0.721,0.397940009,1.476518486,1.334453751,-0.142064735,,,
283,D,Gulias,2003,Annal Bot,Trifolium subterraneum,Fabaceae,F,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,2.1,38,25,0.658,0.322219295,1.579714115,1.397940009,-0.181774106,,,
288,D,Gulias,2003,Annal Bot,Vicia faba,Fabaceae,F,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,2.3,51.4,14.6,0.284,0.361727836,1.711034516,1.164352856,-0.54668166,,,
217,D,Gulias,2003,Annal Bot,Acer opalus,Aceraceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,1.8,66.1,7.4,0.112,0.255272505,1.820013697,0.86923172,-0.950781977,,,
218,D,Gulias,2003,Annal Bot,Ailanthus altissima,Simaroubaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,1.6,67.4,14.5,0.215,0.204119983,1.828929542,1.161368002,-0.66756154,,,
219,D,Gulias,2003,Annal Bot,Amaranthus blitoides,Amaranthaceae,N,Forb,C,39.72,3,606,16.4,,2.01,30,Natural,2.4,134.4,34,0.253,0.380211242,2.128358396,1.531478917,-0.596879479,,,
