Site,Date_Asat,Date_Rd,Species,Code,Fixer,Nonfixer,Meas,Treatment,Rep,T30_air,Tair,Tleaf,Tleaf_cor,A_area,A_mass,Rd_area,Rd_mass,E,g,WUE (A/g),%N_mass,gN_m-2,LMA,d13C,Leaf_bio_g_end,AGB_est_kg_harv,NLIM,NSAT,NLIM_Alt1,NLSAT_Alt1,NLIM_Alt2,NSAT_Alt2,WL/DIS/DAM,Use_biomass_end
T,8/20/2018,8/27/2018,BENI,BENI18,0,1,2,LN,37,NA,NA,NA,NA,16.01,248.2170543,1.19,16.33,0.00509,0.462,34.65367965,1.88,1.21,64.5,-30.5,205.8,3.574950608,1,0,1,0,1,0,0,0
T,8/24/2018,8/28/2018,BENI,BENI18,0,1,2,LN,43,NA,NA,NA,NA,19.25,320.2995008,0.67,11.48,0.00795,0.763,25.2293578,2.09,1.26,60.1,-30.7587,2.5,0.049936883,1,0,1,0,1,0,0,1
T,8/23/2018,8/28/2018,BENI,BENI18,0,1,2,LN,45,NA,NA,NA,NA,15.18,175.0865052,0.54,10.02,0.00578,0.524,28.96946565,1.53,1.33,86.7,-32.51,0.8,0.029274874,1,0,1,0,1,0,0,0
S,8/24/2018,8/28/2018,BENI,BENI18,0,1,2,MN,47,NA,NA,NA,NA,19.36,315.8238173,0.71,10.64,0.00701,0.657,29.46727549,2.82,1.73,61.3,-30.36,216.9,3.554969812,0,1,0,1,0,1,0,0
S,8/24/2018,8/28/2018,BENI,BENI18,0,1,2,HN,49,NA,NA,NA,NA,24.28,443.8756856,0.73,14.55,0.00874,0.855,28.39766082,3.07,1.68,54.7,-31.15,311.4,1.752718317,0,1,0,1,0,1,0,0
S,8/23/2018,8/28/2018,BENI,BENI18,0,1,2,NP,51,NA,NA,NA,NA,23.81,342.0977011,0.82,14.04,0.00728,0.682,34.91202346,2.66,1.85,69.6,-30.07,510.8,9.691466506,0,1,0,1,0,1,0,1
S,9/7/2018,8/28/2018,BENI,BENI18,0,1,2,MN,53,NA,NA,NA,NA,9.84,118.4115523,0.52,5.52,0.004,0.351,28.03418803,1.77,1.47,83.1,-30.72,53.7,0.657271092,0,1,0,1,0,1,1,0
S,8/24/2018,8/28/2018,BENI,BENI18,0,1,2,NP,55,NA,NA,NA,NA,17.01,265.78125,0.73,8.64,0.00613,0.561,30.32085561,2.58,1.65,64,-31.41,83.9,0.585209967,0,1,0,1,0,1,0,0
S,8/24/2018,8/28/2018,BENI,BENI18,0,1,2,NP,57,NA,NA,NA,NA,19.1,266.0167131,1.1,14.81,0.00875,0.847,22.5501771,2.18,1.56,71.8,-31.56957,8.8,0.069500939,0,1,0,1,0,1,0,0
S,8/23/2018,8/28/2018,BENI,BENI18,0,1,2,HN,59,NA,NA,NA,NA,4.08,55.73770492,0.55,7.14,0.00108,0.089,45.84269663,1.79,1.31,73.2,-31.25,6.8,0.176639097,0,1,0,1,0,1,1,0
